,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
343,Renault,Duster,85PS Diesel RxE,2015,"45,000 kms",Diesel,First Owner,delhi,4.8 Lakh*
344,Maruti,Baleno,Sigma,2016,"58,000 kms",Petrol,Second Owner,delhi,4.65 Lakh*
345,Hyundai,i20,1.2 Sportz,2011,"46,899 kms",Petrol,First Owner,delhi,2.75 Lakh*
346,Chevrolet,Beat,Diesel LT Option,2012,"67,900 kms",Diesel,First Owner,delhi,1.47 Lakh*
347,Kia,Seltos,HTK Plus G,2020,"12,000 kms",Petrol,First Owner,delhi,12.25 Lakh*
348,Maruti,Alto,K10 VXI,2019,"25,569 kms",Petrol,First Owner,delhi,3.75 Lakh*
349,Maruti,Alto,800 VXI,2017,"32,000 kms",Petrol,Second Owner,delhi,2.6 Lakh*
350,Maruti,Vitara,Brezza ZDi,2017,"52,000 kms",Diesel,First Owner,delhi,7.75 Lakh*
351,Hyundai,Verna,VTVT 1.6 SX Option,2019,"21,200 kms",Petrol,First Owner,delhi,10.5 Lakh*
352,Maruti,Swift,VXI 2018,2018,"17,000 kms",Petrol,First Owner,delhi,5.98 Lakh*
353,Volkswagen,Polo,1.5 TDI Comfortline,2014,"73,000 kms",Diesel,Second Owner,delhi,3.1 Lakh*
354,Toyota,Etios,V,2016,"74,000 kms",Petrol,First Owner,delhi,3.75 Lakh*
355,Renault,Duster,110PS Diesel RxL AMT,2017,"69,300 kms",Diesel,First Owner,delhi,6.99 Lakh*
356,Tata,Tiago,1.2 Revotron XZ,2019,"4,200 kms",Petrol,First Owner,delhi,5 Lakh*
357,Hyundai,Santro,Xing XO eRLX Euro II,2006,"62,000 kms",Petrol,First Owner,delhi,1.24 Lakh*
358,Mahindra,Bolero,2011-2019 SLE,2014,"84,000 kms",Diesel,First Owner,delhi,4.7 Lakh*
359,Mercedes-Benz,C-Class,C 220 CDI Avantgarde,2017,"26,000 kms",Diesel,First Owner,delhi,29.45 Lakh*
360,Hyundai,Creta,1.4 CRDi S,2015,"77,000 kms",Diesel,First Owner,delhi,7.75 Lakh*
361,Ford,Fiesta,Petrol Style,2013,"62,458 kms",Petrol,Second Owner,delhi,2.45 Lakh*
362,Mahindra,Ssangyong,Rexton RX6,2016,"95,000 kms",Diesel,First Owner,delhi,6.5 Lakh*
363,BMW,3,Series 320d GT Luxury Line,2014,"1,15,000 kms",Diesel,First Owner,delhi,18 Lakh*
364,Nissan,Teana,XV,2010,"80,000 kms",Petrol,First Owner,delhi,3.5 Lakh*
365,Skoda,Rapid,1.5 TDI Ambition,2014,"70,000 kms",Diesel,First Owner,delhi,3.75 Lakh*
366,Maruti,Swift,VDI,2015,"64,000 kms",Diesel,First Owner,delhi,3.9 Lakh*
367,Maruti,Ertiga,VDI Limited Edition,2014,"61,000 kms",Diesel,First Owner,delhi,5.7 Lakh*
368,Maruti,Swift,VDI Optional,2014,"73,000 kms",Diesel,First Owner,delhi,3.95 Lakh*
369,Toyota,Innova,2.5 GX (Diesel) 7 Seater,2015,"1,52,000 kms",Diesel,First Owner,delhi,7.75 Lakh*
370,Honda,Brio,1.2 VX MT,2015,"20,000 kms",Petrol,First Owner,delhi,4 Lakh*
371,Maruti,Omni,5 Str STD,2012,"88,000 kms",Petrol,First Owner,delhi,1.15 Lakh*
372,Maruti,Wagon,R LXI,2006,"80,000 kms",Petrol,Third Owner,delhi,"65,000*"
373,Hyundai,i20,Asta Option 1.4 CRDi,2016,"40,000 kms",Diesel,Second Owner,delhi,5.6 Lakh*
374,Skoda,Superb,Elegance 1.8 TSI AT,2010,"80,000 kms",Petrol,Second Owner,delhi,3.3 Lakh*
375,Honda,City,V AT,2012,"80,000 kms",Petrol,First Owner,delhi,3.75 Lakh*
376,Hyundai,i20,Asta Option 1.4 CRDi,2016,"35,000 kms",Diesel,First Owner,delhi,5.78 Lakh*
377,Maruti,Alto,K10 VXI,2016,"20,265 kms",Petrol,First Owner,delhi,2.75 Lakh*
378,Maruti,Vitara,Brezza ZDi Plus,2016,"82,000 kms",Diesel,Second Owner,delhi,6.35 Lakh*
379,Maruti,Swift,Dzire VXI,2015,"62,000 kms",Petrol,First Owner,delhi,4.9 Lakh*
380,Toyota,Fortuner,4x2 AT,2012,"90,000 kms",Diesel,First Owner,delhi,11.25 Lakh*
381,Hyundai,Verna,1.6 SX VTVT,2012,"67,495 kms",Petrol,Second Owner,delhi,3.5 Lakh*
382,Maruti,Alto,800 LXI,2019,"17,300 kms",Petrol,First Owner,delhi,3.15 Lakh*
383,Maruti,Ciaz,Zeta AT,2019,"32,000 kms",Petrol,First Owner,delhi,8.7 Lakh*
384,Maruti,Swift,ZXI ABS,2010,"76,400 kms",Petrol,First Owner,delhi,2.25 Lakh*
385,Hyundai,i10,Asta,2011,"45,000 kms",Petrol,First Owner,delhi,2.4 Lakh*
386,Maruti,Dzire,VXI,2012,"47,000 kms",Petrol,Second Owner,delhi,3.7 Lakh*
387,Maruti,Ertiga,VXI Petrol,2019,"31,000 kms",Petrol,First Owner,delhi,8.6 Lakh*
388,Hyundai,Creta,1.4 E Plus,2018,"39,500 kms",Diesel,First Owner,delhi,8.5 Lakh*
389,Hyundai,Grand,i10 1.2 CRDi Sportz,2017,"53,000 kms",Diesel,First Owner,delhi,4.5 Lakh*
390,Tata,Zest,Revotron 1.2T XM,2014,"72,000 kms",Petrol,First Owner,delhi,3.45 Lakh*
391,Maruti,Vitara,Brezza VDi,2018,"55,000 kms",Diesel,First Owner,delhi,7.7 Lakh*
392,Maruti,Wagon,R LXI,2012,"34,000 kms",Petrol,Second Owner,delhi,2.65 Lakh*
393,Hyundai,Grand,i10 CRDi Sportz,2014,"67,000 kms",Diesel,First Owner,delhi,3.45 Lakh*
394,Maruti,Baleno,Alpha,2018,"19,000 kms",Petrol,First Owner,delhi,6.05 Lakh*
395,Maruti,Vitara,Brezza ZDi,2019,"47,280 kms",Diesel,First Owner,delhi,8.75 Lakh*
396,Mahindra,XUV500,W8 2WD,2012,"79,000 kms",Diesel,First Owner,delhi,4.49 Lakh*
