,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
50,Hyundai,i20,Sportz 1.4 CRDi,2012,"55,000 kms",Diesel,First Owner,Ahmedabad,3.4 Lakh*
51,Hyundai,Creta,SX Opt Turbo,2020,"5,000 kms",Petrol,First Owner,Ahmedabad,17.75 Lakh*
52,Maruti,Swift,Dzire VDI Optional,2017,"83,000 kms",Diesel,First Owner,Ahmedabad,4.75 Lakh*
53,Ford,EcoSport,S Diesel BSIV,2019,"6,000 kms",Diesel,First Owner,Ahmedabad,11 Lakh*
54,Honda,City,1.5 GXI,2004,"90,000 kms",Petrol,Third Owner,Ahmedabad,"90,000*"
55,Maruti,Alto,800 LXI,2012,"1,10,000 kms",Petrol,Third Owner,Ahmedabad,1.25 Lakh*
56,Maruti,Ertiga,VDI,2014,"1,20,000 kms",Diesel,First Owner,Ahmedabad,4.5 Lakh*
57,Honda,WR-V,i-VTEC S,2017,"41,000 kms",Petrol,First Owner,Ahmedabad,7 Lakh*
58,Hyundai,i20,Magna,2010,"66,000 kms",Petrol,First Owner,Ahmedabad,2.95 Lakh*
59,Maruti,Ritz,VXi,2014,"60,000 kms",Petrol,First Owner,Ahmedabad,3.65 Lakh*
60,Hyundai,EON,Era,2012,"80,000 kms",Petrol,Second Owner,Ahmedabad,2.1 Lakh*
61,Volkswagen,Polo,Diesel Comfortline 1.2L,2013,"70,000 kms",Diesel,Third Owner,Ahmedabad,3 Lakh*
62,Tata,Indica,GLS BS IV,2010,"90,000 kms",Petrol,First Owner,Ahmedabad,"70,000*"
63,Audi,A4,2.0 TDI 177 Bhp Technology Edition,2014,"45,000 kms",Diesel,First Owner,Ahmedabad,15.75 Lakh*
64,Mahindra,Xylo,E4 ABS BS IV,2012,"76,000 kms",Diesel,First Owner,Ahmedabad,3.65 Lakh*
65,Honda,Brio,EX MT,2012,"70,000 kms",Petrol,First Owner,Ahmedabad,2.75 Lakh*
66,Honda,Amaze,S i-Dtech,2014,"93,000 kms",Diesel,Second Owner,Ahmedabad,3.55 Lakh*
67,Tata,Tiago,XT,2020,"3,600 kms",Petrol,First Owner,Ahmedabad,5.3 Lakh*
68,Volkswagen,Vento,Diesel Highline,2012,"1,06,000 kms",Diesel,Second Owner,Ahmedabad,4.18 Lakh*
69,Maruti,Wagon,R LXI CNG,2012,"1,50,000 kms",CNG,First Owner,Ahmedabad,2.5 Lakh*
70,Honda,Jazz,ZX,2021,"6,000 kms",Petrol,First Owner,Ahmedabad,8.5 Lakh*
71,Honda,City,i DTEC V,2015,"72,000 kms",Diesel,First Owner,Ahmedabad,6.5 Lakh*
72,Renault,Duster,110PS Diesel RxZ,2014,"70,000 kms",Diesel,First Owner,Ahmedabad,5 Lakh*
73,Toyota,Innova,Crysta 2016-2020 2.4 VX MT 8 STR,2018,"75,000 kms",Diesel,First Owner,Ahmedabad,18.5 Lakh*
74,Maruti,Zen,Estilo LXI BS IV,2011,"90,000 kms",Petrol,Second Owner,Ahmedabad,1.5 Lakh*
75,Maruti,Wagon,R LXI,2005,"1,20,000 kms",Petrol,Second Owner,Ahmedabad,1.1 Lakh*
76,Toyota,Innova,2.5 G4 Diesel 8-seater,2009,"76,000 kms",Diesel,Third Owner,Ahmedabad,4 Lakh*
77,Tata,Indica,GLS BS IV,2008,"1,44,400 kms",Petrol,Second Owner,Ahmedabad,"40,000*"
78,Mercedes-Benz,C-Class,C 200 CGI Elegance,2010,"85,000 kms",Petrol,First Owner,Ahmedabad,8.5 Lakh*
79,Honda,City,VX MT,2020,"20,000 kms",Petrol,First Owner,Ahmedabad,11.5 Lakh*
80,BMW,3,Series 320d Corporate Edition,2012,"70,000 kms",Diesel,Third Owner,Ahmedabad,6.2 Lakh*
81,Mahindra,TUV,300 T8,2018,"22,200 kms",Diesel,First Owner,Ahmedabad,7.5 Lakh*
82,Chevrolet,Tavera,B1-10 seats BSIII,2006,"1,00,000 kms",Diesel,First Owner,Ahmedabad,2.25 Lakh*
83,Ford,Aspire,1.5 TDCi Trend,2015,"1,00,000 kms",Diesel,First Owner,Ahmedabad,3.15 Lakh*
84,Hyundai,EON,Sportz,2014,"75,000 kms",Petrol,Second Owner,Ahmedabad,2.75 Lakh*
85,Maruti,Swift,Dzire VDI,2013,"60,000 kms",Diesel,Second Owner,Ahmedabad,4 Lakh*
86,Tata,Nexon,1.5 Revotorq XT,2019,"70,000 kms",Diesel,Second Owner,Ahmedabad,6.75 Lakh*
87,Mercedes-Benz,A-Class,A200 CDI,2015,"67,000 kms",Diesel,Second Owner,Ahmedabad,14.5 Lakh*
88,BMW,5,Series 520d Luxury Line,2013,"76,000 kms",Diesel,First Owner,Ahmedabad,19.5 Lakh*
89,Hyundai,Venue,S Turbo DCT BSIV,2019,"3,600 kms",Petrol,First Owner,Ahmedabad,9.75 Lakh*
90,Maruti,Alto,LXi,2008,"48,400 kms",Petrol,Second Owner,Ahmedabad,1.45 Lakh*
91,Fiat,Grande,Punto EVO 1.3 Active,2014,"42,000 kms",Diesel,First Owner,Ahmedabad,2.9 Lakh*
92,MG,Hector,Sharp Diesel MT,2019,"31,000 kms",Diesel,First Owner,Ahmedabad,18 Lakh*
93,Hyundai,Creta,1.6 SX,2018,"19,785 kms",Petrol,First Owner,Ahmedabad,12.75 Lakh*
94,Hyundai,Santro,Xing XS eRLX Euro II,2003,"65,900 kms",Petrol,First Owner,Ahmedabad,1.25 Lakh*
95,Volvo,V40,D3 R-Design,2016,"45,000 kms",Diesel,Second Owner,Ahmedabad,13.5 Lakh*
96,Skoda,Octavia,Ambiente 1.9 TDI,2010,"1,34,000 kms",Diesel,First Owner,Ahmedabad,2.8 Lakh*
97,Volkswagen,Vento,1.5 TDI Highline AT,2016,"86,000 kms",Diesel,First Owner,Ahmedabad,7.5 Lakh*
98,Hyundai,i20,2015-2017 Asta 1.4 CRDi,2017,"47,000 kms",Diesel,First Owner,Ahmedabad,6.75 Lakh*
99,Ford,Ecosport,1.5 DV5 MT Titanium,2014,"68,000 kms",Diesel,First Owner,Ahmedabad,5.25 Lakh*
100,Hyundai,i20,Diesel Sportz,2018,"16,951 kms",Diesel,First Owner,Ahmedabad,7 Lakh*
101,Maruti,Celerio,VXI,2014,"5,30,00 kms",Petrol,First Owner,Ahmedabad,3.5 Lakh*
102,Maruti,Swift,Dzire LDi,2008,"90,000 kms",Diesel,Second Owner,Ahmedabad,2.2 Lakh*
103,Mahindra,Marazzo,M2 8Str BSIV,2018,"1,10,000 kms",Diesel,First Owner,Ahmedabad,8 Lakh*
104,Maruti,Swift,VDI,2013,"80,000 kms",Diesel,First Owner,Ahmedabad,3.6 Lakh*
105,Ford,EcoSport,1.5 TDCi Titanium BSIV,2016,"1,10,000 kms",Diesel,First Owner,Ahmedabad,5.25 Lakh*
106,Honda,City,i DTEC VX,2015,"1,75,000 kms",Diesel,First Owner,Ahmedabad,6.25 Lakh*
107,Toyota,Innova,Crysta 2016-2020 2.8 ZX AT BSIV,2019,"40,214 kms",Diesel,First Owner,Ahmedabad,22.75 Lakh*
108,Honda,BRV,i-DTEC S MT,2017,"54,000 kms",Diesel,First Owner,Ahmedabad,7.9 Lakh*
109,Toyota,Etios,GD,2012,"72,000 kms",Diesel,First Owner,Ahmedabad,3.46 Lakh*
110,Maruti,Swift,Dzire VDI,2014,"67,000 kms",Diesel,First Owner,Ahmedabad,4.5 Lakh*
111,Maruti,Ciaz,1.3 Alpha,2017,"83,000 kms",Diesel,First Owner,Ahmedabad,7.5 Lakh*
112,Maruti,Ertiga,SHVS ZDI Plus,2016,"1,48,000 kms",Diesel,First Owner,Ahmedabad,6.8 Lakh*
113,Toyota,Fortuner,4x2 Manual,2013,"1,21,000 kms",Diesel,First Owner,Ahmedabad,14.5 Lakh*
114,Hyundai,Elantra,CRDi SX AT,2014,"61,000 kms",Diesel,First Owner,Ahmedabad,7.5 Lakh*
115,Volkswagen,Polo,Diesel Trendline 1.2L,2013,"65,000 kms",Diesel,First Owner,Ahmedabad,3.25 Lakh*
116,Honda,New,Accord 2011-2014 2.4 M/T,2013,"59,000 kms",Petrol,First Owner,Ahmedabad,6.9 Lakh*
117,Hyundai,i20,Sportz 1.4 CRDi,2013,"66,000 kms",Diesel,First Owner,Ahmedabad,4.3 Lakh*
118,Nissan,Micra,Diesel XV Premium,2014,"56,000 kms",Diesel,Second Owner,Ahmedabad,2.7 Lakh*
119,Honda,BRV,i-DTEC V MT,2016,"1,00,000 kms",Diesel,First Owner,Ahmedabad,7.5 Lakh*
120,Mahindra,Verito,1.6 G6 Executive BSIV,2012,"1,00,000 kms",Petrol,First Owner,Ahmedabad,3.9 Lakh*
121,Maruti,Swift,VDI,2012,"80,000 kms",Diesel,First Owner,Ahmedabad,3.8 Lakh*
122,Maruti,S-Cross,2017-2020 Zeta DDiS 200 SH,2018,"15,000 kms",Diesel,First Owner,Ahmedabad,8.5 Lakh*
123,Toyota,Innova,Crysta 2016-2020 2.8 GX AT 8S BSIV,2017,"88,000 kms",Diesel,First Owner,Ahmedabad,16 Lakh*
124,Maruti,Alto,LXi,2011,"60,000 kms",Petrol,First Owner,Ahmedabad,1.22 Lakh*
125,Tata,Nexon,1.5 Revotorq XE,2018,"3,500 kms",Diesel,First Owner,Ahmedabad,6.5 Lakh*
126,Maruti,Swift,Dzire ZXI,2014,"64,000 kms",Petrol,Second Owner,Ahmedabad,4.5 Lakh*
127,Renault,Duster,110PS Diesel RxZ,2013,"85,000 kms",Diesel,First Owner,Ahmedabad,5 Lakh*
128,Mahindra,Quanto,C6,2012,"32,001 kms",Diesel,First Owner,Ahmedabad,3.25 Lakh*
129,Maruti,Zen,Estilo 1.1 LXI BSIII,2008,"1,10,000 kms",Petrol,Second Owner,Ahmedabad,1.45 Lakh*
130,Honda,City,i DTEC VX,2014,"1,00,000 kms",Diesel,Second Owner,Ahmedabad,6.21 Lakh*
