,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
788,Hyundai,EON,Era Plus,2013,"49,000 kms",Petrol,Second Owner,chennai,2.7 Lakh*
789,Maruti,Ertiga,VDI,2012,"49,000 kms",Diesel,First Owner,chennai,6.55 Lakh*
790,Datsun,GO,Plus T BSIV,2016,"37,000 kms",Petrol,First Owner,chennai,3.6 Lakh*
791,Ford,EcoSport,Signature Edition Diesel BSIV,2018,"31,000 kms",Diesel,First Owner,chennai,9.95 Lakh*
792,Hyundai,i20,Asta 1.2,2016,"37,000 kms",Petrol,First Owner,chennai,6.4 Lakh*
793,Hyundai,Creta,1.6 CRDi SX Plus,2017,"66,000 kms",Diesel,First Owner,chennai,11.5 Lakh*
794,Honda,Brio,S MT,2013,"49,234 kms",Petrol,First Owner,chennai,3.7 Lakh*
795,Maruti,Vitara,Brezza ZDi Plus,2017,"50,000 kms",Diesel,First Owner,chennai,8.5 Lakh*
796,Nissan,Magnite,XV Premium,2021,"3,000 kms",Petrol,First Owner,chennai,8.25 Lakh*
797,Hyundai,Verna,Xi (Petrol),2007,"1,83,254 kms",Petrol,First Owner,chennai,1.98 Lakh*
798,Toyota,Platinum,Etios 1.4 GD,2019,"51,000 kms",Diesel,First Owner,chennai,7.55 Lakh*
799,Toyota,Innova,Crysta 2016-2020 2.4 VX MT,2018,"7,000 kms",Diesel,First Owner,chennai,21.65 Lakh*
800,Ford,EcoSport,1.5 Diesel Titanium,2018,"66,000 kms",Diesel,First Owner,chennai,8.75 Lakh*
801,Mahindra,TUV,300 T8,2015,"52,000 kms",Diesel,First Owner,chennai,7.55 Lakh*
802,Honda,Amaze,2016-2021 S i-VTEC,2017,"31,000 kms",Petrol,First Owner,chennai,6 Lakh*
803,Ford,Ecosport,1.5 Ti VCT AT Titanium,2014,"44,000 kms",Petrol,First Owner,chennai,6.35 Lakh*
804,Honda,Brio,1.2 S MT,2017,"52,000 kms",Petrol,First Owner,chennai,4.95 Lakh*
805,Chevrolet,Beat,LS,2015,"19,000 kms",Petrol,First Owner,chennai,3.2 Lakh*
806,Hyundai,Grand,i10 AT Sportz,2014,"40,169 kms",Petrol,First Owner,chennai,4.5 Lakh*
807,Renault,KWID,RXL,2015,"49,954 kms",Petrol,First Owner,chennai,2.7 Lakh*
808,Renault,KWID,Climber 1.0 MT,2017,"36,000 kms",Petrol,First Owner,chennai,4.25 Lakh*
809,Datsun,GO,T BSIV,2014,"27,000 kms",Petrol,First Owner,chennai,2.95 Lakh*
810,Nissan,Micra,Diesel XV,2013,"34,000 kms",Diesel,First Owner,chennai,3.95 Lakh*
811,Honda,BRV,i-VTEC V CVT,2018,"23,000 kms",Petrol,First Owner,chennai,10.25 Lakh*
812,Hyundai,i10,Sportz 1.2,2009,"75,375 kms",Petrol,Second Owner,chennai,2.25 Lakh*
813,Tata,Nexon,1.2 Revotron XM,2018,"28,000 kms",Petrol,First Owner,chennai,7.5 Lakh*
814,Ford,EcoSport,1.5 Ti VCT MT Trend BSIV,2015,"29,000 kms",Petrol,First Owner,chennai,6.3 Lakh*
815,Mahindra,XUV500,2011-2015 W8 FWD,2012,"77,000 kms",Diesel,Second Owner,chennai,7.75 Lakh*
816,Maruti,Baleno,Alpha Automatic,2018,"10,000 kms",Petrol,First Owner,chennai,7.95 Lakh*
817,Maruti,Swift,ZXI,2014,"46,000 kms",Petrol,First Owner,chennai,4.8 Lakh*
818,Hyundai,Verna,SX CRDi AT,2012,"58,000 kms",Diesel,Second Owner,chennai,5.5 Lakh*
819,Tata,Nano,Twist XT,2014,"53,103 kms",Petrol,First Owner,chennai,1.6 Lakh*
820,Honda,Amaze,S i-Vtech,2013,"33,000 kms",Petrol,First Owner,chennai,4.6 Lakh*
821,Hyundai,Creta,1.6 VTVT AT SX Plus,2017,"56,000 kms",Petrol,First Owner,chennai,11.65 Lakh*
822,Hyundai,Creta,1.6 CRDi SX,2018,"33,000 kms",Diesel,First Owner,chennai,13 Lakh*
823,Chevrolet,Spark,1.0 LS,2008,"1,24,365 kms",Petrol,Second Owner,chennai,1.2 Lakh*
824,Tata,Nano,Lx BSIII,2012,"32,000 kms",Petrol,First Owner,chennai,1 Lakh*
825,Honda,Amaze,2016-2021 S i-VTEC,2017,"40,000 kms",Petrol,Second Owner,chennai,5.15 Lakh*
826,Tata,Nano,Twist XT,2014,"25,000 kms",Petrol,Second Owner,chennai,1.65 Lakh*
827,Maruti,Swift,VXI,2019,"11,000 kms",Petrol,First Owner,chennai,6.4 Lakh*
828,Audi,A6,2.7 TDI,2010,"70,000 kms",Diesel,First Owner,chennai,10 Lakh*
829,Maruti,Alto,K10 LXI,2016,"53,000 kms",Petrol,First Owner,chennai,3 Lakh*
830,Mahindra,XUV500,W8 4WD,2012,"1,30,000 kms",Diesel,First Owner,chennai,6.85 Lakh*
831,Land,Rover,Discovery Sport TD4 HSE 7S,2016,"45,000 kms",Diesel,First Owner,chennai,36 Lakh*
832,Hyundai,i20,Asta 1.2,2010,"30,682 kms",Petrol,First Owner,chennai,3.25 Lakh*
833,Ford,Fiesta,1.4 Duratec ZXI,2007,"52,065 kms",Petrol,Second Owner,chennai,1.7 Lakh*
834,Tata,Indica,DLS BSIII,2017,"35,000 kms",Diesel,First Owner,chennai,2 Lakh*
835,Hyundai,Elantra,CRDi SX,2015,"23,000 kms",Diesel,First Owner,chennai,10.5 Lakh*
836,Mini,Cooper,S,2013,"44,501 kms",Petrol,Second Owner,chennai,19 Lakh*
837,Toyota,Fortuner,2016-2021 2.8 4WD MT BSIV,2017,"43,000 kms",Diesel,Second Owner,chennai,27 Lakh*
838,Datsun,GO,A EPS,2016,"24,000 kms",Petrol,First Owner,chennai,3.35 Lakh*
839,Hyundai,Verna,SX CRDi AT,2013,"58,000 kms",Diesel,First Owner,chennai,6.7 Lakh*
840,Jaguar,XJ,3.0L,2011,"65,000 kms",Diesel,First Owner,chennai,25 Lakh*
841,Maruti,Baleno,Zeta 1.2,2017,"46,000 kms",Petrol,First Owner,chennai,6.7 Lakh*
842,Renault,KWID,RXT,2016,"40,000 kms",Petrol,First Owner,chennai,3.2 Lakh*
843,Maruti,Baleno,Delta 1.2,2016,"54,000 kms",Petrol,First Owner,chennai,6.1 Lakh*
844,Hyundai,Verna,Transform SX VTVT,2011,"58,000 kms",Petrol,First Owner,chennai,5.1 Lakh*
845,Hyundai,Venue,SX Diesel BSIV,2020,"4,000 kms",Diesel,First Owner,chennai,10.7 Lakh*
846,Maruti,Baleno,Sigma,2016,"41,383 kms",Petrol,First Owner,chennai,5.25 Lakh*
847,Hyundai,Creta,1.6 VTVT AT SX Plus,2016,"36,800 kms",Petrol,First Owner,chennai,9.9 Lakh*
848,Mercedes-Benz,E-Class,Exclusive E 220 d BSIV,2017,"12,000 kms",Diesel,First Owner,chennai,45.5 Lakh*
849,Toyota,Innova,2.5 G (Diesel) 7 Seater,2014,"65,000 kms",Diesel,First Owner,chennai,11.99 Lakh*
850,Maruti,Swift,LDI Optional,2017,"45,000 kms",Diesel,First Owner,chennai,6.15 Lakh*
851,Ford,Fiesta,1.4 Duratec ZXI,2008,"90,000 kms",Petrol,Second Owner,chennai,1.4 Lakh*
852,Renault,Duster,Adventure Edition RXZ AWD,2017,"23,000 kms",Diesel,Second Owner,chennai,8.75 Lakh*
853,Tata,Nano,LX,2012,"19,000 kms",Petrol,First Owner,chennai,1.25 Lakh*
854,Hyundai,i10,Era,2013,"42,000 kms",Petrol,First Owner,chennai,2.95 Lakh*
855,Maruti,Swift,VXI,2015,"41,892 kms",Petrol,First Owner,chennai,5.3 Lakh*
