,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
1153,Honda,New,Accord 2008-2011 2.4 Elegance A/T,2011,"40,000 kms",Petrol,First Owner,Banglore,6 Lakh*
1154,BMW,5,Series 520d Luxury Line,2013,"60,000 kms",Diesel,Second Owner,Banglore,18.5 Lakh*
1155,Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV,2012,"85,433 kms",Diesel,First Owner,Banglore,9.75 Lakh*
1156,Maruti,Vitara,VDi AMT,2018,"29,796 Kms",Diesel,1st Owner,Banglore,"₹ 8,91,500"
1157,Maruti,Alto,VXI,2018,"23,014 Kms",Petrol,1st Owner,Banglore,"₹ 4,04,500"
1158,Toyota,Fortuner,3.0 Diesel,2009,"1,76,000 kms",Diesel,Third Owner,Banglore,8.5 Lakh*
1159,Maruti,Vitara,VDi,2018,"24,089 Kms",Diesel,1st Owner,Banglore,"₹ 8,74,500"
1160,Tata,Tiago,1.2 Revotron XZA,2019,"17,000 kms",Petrol,First Owner,Banglore,5.66 Lakh*
1161,Maruti,Vitara,LDi,2016,"67,856 Kms",Diesel,1st Owner,Banglore,"₹ 7,45,000"
1162,Maruti,Celerio,VXI AT,2014,"41,775 Kms",Petrol,1st Owner,Banglore,"₹ 4,11,000"
1163,Mercedes-Benz,C-Class,C 220 CDI Avantgarde,2013,"90,000 kms",Diesel,Second Owner,Banglore,14.75 Lakh*
1164,Hyundai,EON,Magna Plus,2017,"15,998 Kms",Petrol,1st Owner,Banglore,"₹ 3,77,500"
1165,Hyundai,Grand,1.2 Kappa Asta,2017,"41,894 Kms",Petrol,1st Owner,Banglore,"₹ 5,59,000"
1166,Maruti,Wagon,VXI,2017,"24,925 Kms",Petrol,1st Owner,Banglore,"₹ 4,72,000"
1167,Renault,KWID,AMT RXL,2017,"14,071 Kms",Petrol,1st Owner,Banglore,"₹ 3,98,000"
1168,Maruti,Swift,VXI,2014,"86,857 Kms",Petrol,1st Owner,Banglore,"₹ 4,90,000"
1169,Volkswagen,Polo,1.2 MPI Highline,2015,"80,000 kms",Petrol,Second Owner,Banglore,4.85 Lakh*
